Gene	RefSeq_transcript	Reason
NBPF20	NM_001397211	Not_found_in_canonical_GTF_exon_records
NBPF9	NM_001388367	Not_found_in_canonical_GTF_exon_records
NDUFA4L2	NM_001394961	Not_found_in_canonical_GTF_exon_records
NEK10	NM_001394966	Not_found_in_canonical_GTF_exon_records
NHERF1	NM_004252	Not_found_in_canonical_GTF_exon_records
NHERF2	NM_001130012	Not_found_in_canonical_GTF_exon_records
NHERF4	NM_001168468	Not_found_in_canonical_GTF_exon_records
NHSL3	NM_020888	Not_found_in_canonical_GTF_exon_records
NICOL1	NM_001168243	Not_found_in_canonical_GTF_exon_records
NKRF	NM_001417890	Not_found_in_canonical_GTF_exon_records
NLRP10	NM_001391958	Not_found_in_canonical_GTF_exon_records
